310-246-1501#310-246-1501 ==> 1,1,1,1,1,1,0,0,0,0.993,0.947,0.944,0,0,0,0.311,0.311,0.091,0.125,1,1,1,1,1,1,1,match
310-246-1501#818-762-1221 ==> 0,0,0,0.2,0.182,0.247,0,0,0,0.594,0.368,0.412,0,0,0,0.311,0.311,0.091,0.125,0,0,0,0.3,0.3,0,0.1,mismatch
310-246-1501#310-472-1211 ==> 0,0,0,0.415,0.136,0.15,0,0,0,0.498,0.211,0.176,0,0,0,0.455,0.455,0,0.145,0,0,0,0.511,0.511,0.1,0.433,mismatch
310-246-1501#818-788-3536 ==> 0,0,0,0.459,0.091,0.222,0,0,0,0.594,0.368,0.412,0,0,0,0.505,0.505,0.182,0.167,0,0,0,0,0,0.182,0.2,mismatch
310-246-1501#213-938-1447 ==> 0,0,0,0.461,0.136,0.267,0,0,0,0.74,0.421,0.267,0,0,0,0.311,0.311,0.091,0.125,1,1,1,1,1,1,1,mismatch
310-246-1501#310-392-9025 ==> 0,0,0,0.576,0.227,0.231,0,0,0,0,0.211,0.2,0,0,0,0.505,0.505,0.182,0.167,0,0,0,0.421,0.421,0.091,0.3,mismatch
310-246-1501#213-857-0034 ==> 0,0,0,0.308,0.136,0.267,0,0,0,0.61,0.211,0.147,0,0,0,0.455,0.455,0,0.145,1,1,1,1,1,1,1,mismatch
310-246-1501#213-848-6677 ==> 0,0,0,0,0.136,0.44,0,0,0,0.628,0.211,0.274,0,0,0,0.311,0.311,0.091,0.125,0,0,0,0.433,0.433,0.1,0.178,mismatch
310-246-1501#310-456-0488 ==> 0,0,0,0.581,0.182,0.343,0,0,0,0.642,0.316,0.188,0,0,0,0.455,0.455,0,0.145,0,0,0,0.344,0.344,0.1,0.367,mismatch
310-246-1501#310-276-0615 ==> 0,0,0,0,0.182,0.173,0,0,0,0.506,0.211,0.123,0,0,0,0.311,0.311,0.091,0.125,1,1,1,1,1,1,1,mismatch
